Fig.1B Growth performance																	
	Body weight (kg)	CON	CON	CON	CON	XOS	XOS	XOS	XOS								
	D1	8.53	9.23	8.77	9.07	9.2	8.83	8.87	8.5								
	D14	12.27	12.61	12.48	12.55	12.86	12.18	12.55	12.49								
	D28	16.65	17.23	16.96	17.17	17.82	17.63	18.31	17.44								
																	
	Total feed intake (kg)	CON	CON	CON	CON	XOS	XOS	XOS	XOS								
	D1-14	6.92	7.16	7.05	7.14	6.91	6.83	7.10	6.76								
	D15-28	7.72	7.67	7.30	8.19	7.84	8.11	8.61	7.82								
	D1-28	14.64	14.84	14.35	15.33	14.75	14.95	15.71	14.58								
																	
																	
																	
Fig. 1C Statistical indicators of small intestinal morphology (μm)																	
		CON	CON	CON	CON	CON	CON	CON	CON	XOS	XOS	XOS	XOS	XOS	XOS	XOS	XOS
Duodenum	VH-D	462.1	512.9	518.6	483.6	483.4	496.0	518.1	523.7	534.7	486.3	529.4	492.3	503.5	488.8	536.5	499.2
	CD-D	203.6	237.1	227.1	229.3	205.1	225.6	236.0	261.1	235.2	203.9	192.3	237.9	187.4	231.9	199.9	213.4
Jejunum	VH-J	414.2	442.5	426.3	415.2	423.4	394.4	429.6	421.5	435.0	413.6	450.6	452.6	446.4	461.2	446.5	434.4
	CD-J	210.7	194.8	194.9	188.2	198.9	194.8	186.5	208.3	182.0	188.4	184.6	195.4	187.4	201.4	207.1	196.2
Ileum	VH-I	368.5	407.8	397.9	357.9	362.3	369.7	388.8	374.3	463.0	432.1	405.1	394.9	420.3	378.6	395.8	402.3
	CD-I	132.6	133.8	135.8	117.2	122.4	136.2	123.7	140.1	131.8	129.1	128.1	129.1	137.0	124.8	119.8	127.3
	VH, villus height; CD, crypt depth.																
																	
																	
																	
Fig. 1D The protein expression levels in the jejunal mucosa of piglets																	
																	
																	
		CON	CON	CON	CON	CON	XOS	XOS	XOS	XOS	XOS						
	CASP3	1.152	1.236	0.953	0.804	0.855	0.764	0.635	0.771	0.590	0.748						
	BAX	1.503	1.121	1.014	0.674	0.688	0.524	0.562	0.729	0.593	0.738						
	BCL-2	0.938	1.051	1.011	1.102	0.898	1.284	1.203	1.442	1.351	1.530						
	PCNA	1.333	0.982	1.000	0.916	0.769	1.019	0.982	1.073	1.074	1.328						
