"The raw data of microbiome reported in this figure part have been deposited in the NCBI (PRJNA1266879, https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1266879)."					
The analysis and visualization of proteomics data were performed on the Majorbio I-Sanger Cloud Platform (http://www.i-sanger.com)					
Differential microbial composition of jejunal mucosa at genus level					
Name	CON_M-Mean(%)	CON_M-Sd(%)	XOS_M-Mean(%)	XOS_M-Sd(%)	p-value
g__Mycoplasma	45.040	33.140	11.830	19.650	0.0453
g__Clostridium_sensu_stricto_1	1.260	0.638	7.001	3.449	0.0131
g__Lactobacillus	0.774	0.535	10.080	11.420	0.0247
g__Streptococcus	0.317	0.227	1.988	1.565	0.0306
g__Terrisporobacter	0.288	0.171	1.552	0.668	0.0131
g__Blautia	0.120	0.051	2.182	3.197	0.0051
g__Holdemanella	0.076	0.021	0.704	0.449	0.0103
g__Subdoligranulum	0.062	0.048	0.694	0.491	0.0131
g__unclassified_f__Lachnospiraceae	0.027	0.013	0.169	0.127	0.0050
g__Rothia	0.026	0.025	0.096	0.065	0.0453
g__Ruminococcus	0.026	0.019	0.245	0.254	0.0081
g__norank_f__norank_o__RF39	0.025	0.012	0.114	0.070	0.0247
g__Corynebacterium	0.024	0.014	0.263	0.384	0.0304
g__Ruminococcus_gauvreauii_group	0.020	0.007	0.241	0.219	0.0049
g__Mogibacterium	0.019	0.016	0.193	0.114	0.0247
g__Eubacterium_hallii_group	0.018	0.009	0.200	0.233	0.0161
g__Catenibacterium	0.018	0.015	0.369	0.488	0.0082
g__Intestinibacter	0.017	0.010	0.128	0.070	0.0051
g__unclassified_f__Ruminococcaceae	0.014	0.016	0.065	0.090	0.0367
g__Collinsella	0.013	0.008	0.121	0.107	0.0050
g__Peptococcus	0.013	0.015	0.167	0.107	0.0051
g__Clostridium_sensu_stricto_6	0.012	0.007	0.059	0.022	0.0126
g__Catenisphaera	0.012	0.007	0.097	0.050	0.0063
g__Solobacterium	0.011	0.011	0.134	0.129	0.0128
g__Ruminococcus_torques_group	0.011	0.010	0.170	0.255	0.0128
g__Brachybacterium	0.011	0.013	0.665	1.171	0.0301
g__Family_XIII_AD3011_group	0.011	0.007	0.144	0.268	0.0438
g__norank_f__Oscillospiraceae	0.009	0.009	0.068	0.061	0.0301
g__norank_f__Ruminococcaceae	0.008	0.009	0.077	0.111	0.0128
g__Dubosiella	0.008	0.011	0.000	0.000	0.0284
g__norank_f__norank_o__Gastranaerophilales	0.008	0.009	0.062	0.075	0.0159
g__norank_f__Butyricicoccaceae	0.008	0.009	0.045	0.022	0.0304
g__Prevotellaceae_Ga6A1_group	0.007	0.007	0.000	0.000	0.0284
g__norank_f__Anaerolineaceae	0.007	0.013	0.028	0.028	0.0338
g__Colidextribacter	0.006	0.005	0.044	0.076	0.0364
g__norank_f__Eggerthellaceae	0.005	0.005	0.057	0.058	0.0126
g__Dorea	0.005	0.007	0.148	0.227	0.0072
g__NK4A214_group	0.004	0.004	0.045	0.059	0.0192
g__Actinomyces	0.004	0.002	0.014	0.007	0.0376
g__norank_f__Lachnospiraceae	0.003	0.005	0.030	0.025	0.0121
g__Fournierella	0.003	0.004	0.136	0.211	0.0060
g__Eubacterium_nodatum_group	0.003	0.005	0.015	0.012	0.0235
g__Marvinbryantia	0.003	0.003	0.089	0.095	0.0062
g__Weissella	0.002	0.005	0.019	0.018	0.0179
g__Eubacterium_xylanophilum_group	0.002	0.006	0.012	0.004	0.0239
g__Butyricicoccus	0.002	0.002	0.016	0.009	0.0427
g__Aeromicrobium	0.002	0.002	0.033	0.039	0.0338
g__Arthrobacter	0.002	0.002	0.006	0.004	0.0443
g__Parafrigoribacterium	0.002	0.002	0.018	0.015	0.0484
g__Enterorhabdus	0.002	0.003	0.014	0.008	0.0303
g__norank_f__norank_o__norank_c__KD4-96	0.002	0.004	0.013	0.014	0.0403
