Fig. 2I Bile acid contents of jejunal digesta in the XOS group																			
		CON	CON	CON	CON	CON	CON	XOS	XOS	XOS	XOS	XOS	XOS						
	CDCA	3560.04	1000.25	2688.26	512.62	464.61	994.02	5908.47	3428.11	1580.36	568.21	367.03	502.59						
	TCDCA	458.17	1030.20	115.57	149.39	485.92	1801.74	2756.57	564.94	1636.40	1802.12	1023.80	2373.29						
	GCDCA	866.83	2267.93	271.41	230.52	766.69	2353.92	4535.47	1263.92	2753.28	2356.76	1834.52	2362.20						
	DCA	1.88	9.47	22.58	1.98	4.34	8.02	1.87	18.64	9.38	3.58	4.19	5.70						
	TDCA	0.62	4.52	5.90	0.33	2.57	0.59	11.19	1.86	4.57	4.95	4.19	13.16						
	GDCA	12.11	5.63	57.56	3.13	21.55	53.27	118.56	17.24	55.41	49.70	60.83	96.26						
																			
																			
																			
Fig. 2J Bile acid contents of jejunal digesta in the E.coli+L.reuteri group																			
		CON	CON	CON	CON	CON	CON	E.coli	E.coli	E.coli	E.coli	E.coli	E.coli	E.coli+L.reuteri	E.coli+L.reuteri	E.coli+L.reuteri	E.coli+L.reuteri	E.coli+L.reuteri	E.coli+L.reuteri
	CDCA	2144.32	420.65	1469.19	701.22	110.05	2642.16	493.81	464.65	38.54	179.04	90.75	279.8	349.38	663.18	283.42	256.34	189.97	164.57
	TCDCA	1234.87	4792.11	3121.87	1437.69	2244.22	2979.42	1627.95	992.96	930.67	1741.72	2202.02	1924.37	3280.98	4716.15	2591.29	2020.22	2600.24	2361.91
	GCDCA	2259.66	1774.23	2594.95	3744.79	2436.49	3883.43	1943.76	2631.01	2408.18	1410.52	1357.59	3246.14	3190.13	5678.01	3090.52	2542.98	3049.68	4537.25
	DCA	13.19	1.76	8.87	9.38	13.04	18.84	3.87	18.59	16.94	3.94	3.48	14.24	3.65	3.45	21.22	4.83	23.69	2.17
	TDCA	3.18	17.46	3.06	2.64	3.79	5	67.93	27.99	25.49	20.68	31.79	95.63	12.81	22.26	5.83	8.56	16.23	6.98
	GDCA	55.89	31.11	74.36	212.44	58.2	88.39	399.35	384.57	365.04	391.82	142.65	271.33	96.05	219.56	79.12	87.05	259.37	126.93
																			
																			
																			
Fig. 2K The protein expression levels in the hypoxia-model cells with GCDCA/TCDCA supplementation																			
		Cocl2	Cocl2	Cocl2	CON	CON	CON	Cocl2+GCDCA	Cocl2+GCDCA	Cocl2+GCDCA	Cocl2+TCDCA	Cocl2+TCDCA	Cocl2+TCDCA						
	CAPS3	1.38	1.14	1.21	1.00	1.06	0.95	0.99	0.96	1.16	1.25	1.24	1.36						
	BAX	1.23	1.12	1.12	0.96	1.07	0.97	1.02	0.94	1.07	1.32	1.33	1.43						
	BCL-2	1.05	0.93	1.18	1.22	1.04	0.74	0.92	0.92	1.01	1.00	1.18	1.30						
