"Table for differential expressed proteins. The raw data of proteomics reported in this figure part have been deposited in the OMIX, China National Center for Bioinformation (OMIX010468, https://ngdc.cncb.ac.cn/omix/release/OMIX010468)."						
The analysis and visualization of proteomics data were performed on the PTM BioCloud platform (http://www.ptmbiolab.com).						
No.	Protein accession	Protein description	Gene name	MW [kDa]	XOS500/CON Ratio	"XOS500/CON 
p value"
1	A0A287A0F9	KIAA0513 OS=Sus scrofa OX=9823 GN=KIAA0513 PE=1 SV=1	KIAA0513	46.5	0.825	0.0002
2	A0A5G2R4Z0	ADP ribosylation factor like GTPase 1 OS=Sus scrofa OX=9823 GN=ARL1 PE=1 SV=1	ARL1	23.4	0.804	0.0014
3	A0A287B9S4	"PYM homolog 1, exon junction complex associated factor OS=Sus scrofa OX=9823 GN=PYM1 PE=1 SV=2"	PYM1	29.0	1.569	0.0017
4	I3LNC8	Claudin OS=Sus scrofa OX=9823 GN=CLDN7 PE=1 SV=1	CLDN7	15.2	0.634	0.0019
5	A0A5G2QQG0	Crystallin zeta like 1 OS=Sus scrofa OX=9823 GN=CRYZL1 PE=1 SV=1	CRYZL1	36.6	1.213	0.0039
6	A5GFQ5	Protein canopy homolog 3 OS=Sus scrofa OX=9823 GN=CNPY3 PE=3 SV=1	CNPY3	31.7	1.262	0.0039
7	I3LD12	RBR-type E3 ubiquitin transferase OS=Sus scrofa OX=9823 GN=ARIH1 PE=3 SV=3	ARIH1	59.5	1.241	0.0042
8	A0A480UNP1	Acyl-CoA binding domain containing 6 OS=Sus scrofa OX=9823 GN=ACBD6 PE=1 SV=1	ACBD6	31.0	1.481	0.0043
9	A0A286ZNZ0	Syntrophin beta 1 OS=Sus scrofa OX=9823 GN=SNTB1 PE=4 SV=1	SNTB1	38.4	1.327	0.0047
10	A0A287AFT2	L-Fucosyltransferase OS=Sus scrofa OX=9823 GN=FUT2A PE=3 SV=1	FUT2A	45.6	0.303	0.0048
11	A0A5G2R6S0	Rac family small GTPase 2 OS=Sus scrofa OX=9823 GN=RAC2 PE=1 SV=1	RAC2	21.4	0.818	0.0049
12	I3LQS2	"5', 3'-nucleotidase, cytosolic OS=Sus scrofa OX=9823 GN=NT5C PE=1 SV=1"	NT5C	29.1	1.285	0.0052
13	I3LS74	Antileukoproteinase OS=Sus scrofa OX=9823 GN=LOC100512873 PE=1 SV=1	LOC100512873	16.5	1.993	0.0056
14	F1RFG5	Exportin-6 OS=Sus scrofa OX=9823 GN=XPO6 PE=4 SV=2	XPO6	128.8	1.621	0.0058
15	A0A287BB16	MAP kinase activating death domain OS=Sus scrofa OX=9823 GN=MADD PE=1 SV=2	MADD	178.4	1.246	0.0059
16	A0A286ZR09	Anillin actin binding protein OS=Sus scrofa OX=9823 GN=ANLN PE=1 SV=1	ANLN	114.9	2.888	0.0068
17	Q29042	Ficolin-1 OS=Sus scrofa OX=9823 GN=FCN1 PE=1 SV=1	FCN1	35.2	0.089	0.0071
18	A0A5G2RD43	Amine oxidase OS=Sus scrofa OX=9823 GN=LOC110256000 PE=3 SV=1	LOC110256000	81.6	1.601	0.0074
19	A0A5G2QRX3	Epidermal growth factor receptor pathway substrate 15 OS=Sus scrofa OX=9823 GN=EPS15 PE=1 SV=1	EPS15	95.9	1.263	0.0087
20	A0A287B209	Runt-related transcription factor OS=Sus scrofa OX=9823 GN=RUNX3 PE=4 SV=1	RUNX3	44.7	0.811	0.0092
21	A0A286ZIC8	Interferon stimulated exonuclease gene 20 OS=Sus scrofa OX=9823 GN=ISG20 PE=4 SV=1	ISG20	20.9	0.661	0.0099
22	A0A5S6GYA9	Serine/threonine-protein kinase A-Raf OS=Sus scrofa OX=9823 GN=ARAF PE=4 SV=1	ARAF	67.5	0.792	0.0100
23	F1ST67	Exosome complex component RRP40 isoform 1 OS=Sus scrofa OX=9823 GN=EXOSC3 PE=4 SV=1	EXOSC3	29.6	0.638	0.0103
24	F1RKW3	E3 ubiquitin-protein ligase RNF135 isoform 1 OS=Sus scrofa OX=9823 GN=RNF135 PE=4 SV=1	RNF135	46.7	1.891	0.0116
25	P27594	Interferon-induced GTP-binding protein Mx1 OS=Sus scrofa OX=9823 GN=MX1 PE=2 SV=1	MX1	75.5	1.372	0.0119
26	F1RLG4	Signal recognition particle 19 OS=Sus scrofa OX=9823 GN=SRP19 PE=1 SV=1	SRP19	16.1	1.529	0.0125
27	I3LQI7	"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase OS=Sus scrofa OX=9823 GN=ALG3 PE=4 SV=3"	ALG3	49.9	0.784	0.0125
28	K7GKN2	Interferon-induced GTP-binding protein Mx1 OS=Sus scrofa OX=9823 GN=MX1 PE=1 SV=3	MX1	74.0	1.420	0.0146
29	A0A287BAJ4	Zinc finger protein 207 OS=Sus scrofa OX=9823 GN=ZNF207 PE=1 SV=2	ZNF207	49.6	1.285	0.0152
30	I3LG19	Charged multivesicular body protein 4C OS=Sus scrofa OX=9823 GN=CHMP4C PE=4 SV=2	CHMP4C	26.7	0.713	0.0158
31	F1RHG1	Clustered mitochondria protein homolog OS=Sus scrofa OX=9823 GN=CLUH PE=1 SV=3	CLUH	146.9	1.420	0.0167
32	A0A5G2QW78	Protocadherin-11 X-linked OS=Sus scrofa OX=9823 GN=PCDH11X PE=4 SV=1	PCDH11X	148.0	0.737	0.0170
33	A0A287AUQ4	Hook microtubule tethering protein 3 OS=Sus scrofa OX=9823 GN=HOOK3 PE=1 SV=2	HOOK3	91.0	1.344	0.0171
34	A0A286ZJR2	"Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Sus scrofa OX=9823 GN=MRPL58 PE=1 SV=1"	MRPL58	23.5	0.749	0.0171
35	A0A286ZZB7	Histone cluster 1 H1 family member e OS=Sus scrofa OX=9823 GN=HIST1H1E PE=3 SV=2	HIST1H1E	21.0	0.458	0.0174
36	F1SV18	KDEL motif-containing protein 2 OS=Sus scrofa OX=9823 GN=POGLUT3 PE=1 SV=3	POGLUT3	58.7	1.236	0.0183
37	F1SED8	Solute carrier family 4 member 1 adaptor protein OS=Sus scrofa OX=9823 GN=SLC4A1AP PE=1 SV=3	SLC4A1AP	82.0	1.278	0.0189
38	A0A5G2R7Z6	Uncharacterized protein OS=Sus scrofa OX=9823 GN=C1H9orf16 PE=4 SV=1	C1H9orf16	9.0	1.310	0.0192
39	A0A287BMH8	Ribonucloprotein OS=Sus scrofa OX=9823 GN=NHP2 PE=1 SV=1	NHP2	20.1	1.281	0.0194
40	A0A287ABA9	TRPM8 channel-associated factor 2 isoform X1 OS=Sus scrofa OX=9823 GN=LOC110257570 PE=4 SV=1	LOC110257570	99.6	1.220	0.0194
41	F1SCF0	Alpha-1-antitrypsin OS=Sus scrofa OX=9823 GN=SERPINA1 PE=3 SV=2	SERPINA1	46.9	1.533	0.0203
42	F1SL82	Myosin IA OS=Sus scrofa OX=9823 GN=MYO1A PE=3 SV=4	MYO1A	113.1	0.657	0.0218
43	A0A480YVQ6	RUNX family transcription factor 2 OS=Sus scrofa OX=9823 GN=RUNX2 PE=4 SV=1	RUNX2	68.5	1.399	0.0224
44	K7GNY9	Prefoldin subunit 3 OS=Sus scrofa OX=9823 GN=VBP1 PE=1 SV=2	VBP1	26.5	1.366	0.0238
45	A0A287BLV6	Bactericidal permeability increasing protein OS=Sus scrofa OX=9823 GN=BPI PE=4 SV=2	BPI	53.6	1.578	0.0239
46	A0A5G2RF48	Transmembrane protein 129 OS=Sus scrofa OX=9823 GN=TMEM129 PE=4 SV=1	TMEM129	30.1	1.536	0.0242
47	A0A287BG09	Threonine synthase like 1 OS=Sus scrofa OX=9823 GN=THNSL1 PE=1 SV=1	THNSL1	85.1	0.791	0.0256
48	A0A287AGS1	Store-operated calcium entry associated regulatory factor OS=Sus scrofa OX=9823 GN=SARAF PE=1 SV=1	SARAF	36.8	0.817	0.0268
49	A0A288CFY3	Tropomyosin alpha-3 chain OS=Sus scrofa OX=9823 GN=TPM3 PE=1 SV=2	TPM3	26.4	1.491	0.0276
50	F1SRB9	ST13 Hsp70 interacting protein OS=Sus scrofa OX=9823 GN=ST13 PE=1 SV=2	ST13	41.9	1.350	0.0294
51	F1SAE6	Patatin like phospholipase domain containing 8 OS=Sus scrofa OX=9823 GN=PNPLA8 PE=4 SV=4	PNPLA8	77.0	1.227	0.0296
52	A0A480NCF5	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase OS=Sus scrofa OX=9823 GN=PLCB1 PE=1 SV=1"	PLCB1	133.5	2.070	0.0304
53	A0A5K1VV69	Reticulon 4 interacting protein 1 OS=Sus scrofa OX=9823 GN=RTN4IP1 PE=1 SV=1	RTN4IP1	43.9	0.793	0.0304
54	F1SC47	Delta-1-pyrroline-5-carboxylate synthase OS=Sus scrofa OX=9823 GN=ALDH18A1 PE=1 SV=1	ALDH18A1	87.0	0.771	0.0308
55	A0A5G2RD78	Ubiquitin like modifier activating enzyme 3 OS=Sus scrofa OX=9823 GN=UBA3 PE=1 SV=1	UBA3	57.3	1.276	0.0319
56	A0A5G2R8N0	Elongator acetyltransferase complex subunit 6 OS=Sus scrofa OX=9823 GN=ELP6 PE=4 SV=1	ELP6	36.7	1.360	0.0323
57	A0A5S6HGR0	Tropomyosin alpha-4 chain OS=Sus scrofa OX=9823 GN=TPM4 PE=1 SV=1	TPM4	32.7	1.829	0.0330
58	I3L770	E3 ubiquitin-protein ligase HUWE1 isoform X9 OS=Sus scrofa OX=9823 GN=HUWE1 PE=1 SV=2	HUWE1	482.3	1.211	0.0348
59	I3LA89	Acyl-CoA thioesterase 8 OS=Sus scrofa OX=9823 GN=ACOT8 PE=1 SV=2	ACOT8	35.8	0.603	0.0353
60	A0A287BA70	Protein phosphatase 1 regulatory subunit 21 OS=Sus scrofa OX=9823 GN=PPP1R21 PE=1 SV=1	PPP1R21	83.0	0.787	0.0359
61	A0A5G2QD95	Exosome component 10 OS=Sus scrofa OX=9823 GN=EXOSC10 PE=4 SV=1	EXOSC10	96.6	1.687	0.0375
62	F1S1X2	Mitochondrial methionyl-tRNA formyltransferase OS=Sus scrofa OX=9823 GN=MTFMT PE=4 SV=3	MTFMT	43.6	0.677	0.0379
63	A0A286ZS01	"NSE1 homolog, SMC5-SMC6 complex component OS=Sus scrofa OX=9823 GN=NSMCE1 PE=4 SV=1"	NSMCE1	30.6	1.392	0.0385
64	F1SBT3	AlkB homolog 7 OS=Sus scrofa OX=9823 GN=ALKBH7 PE=4 SV=2	ALKBH7	26.8	0.810	0.0386
65	A0A5G2RB10	Solute carrier family 27 member 4 OS=Sus scrofa OX=9823 GN=SLC27A4 PE=1 SV=1	SLC27A4	75.2	0.509	0.0387
66	A0A2C9F345	U1 small nuclear ribonucleoprotein A OS=Sus scrofa OX=9823 GN=SNRPA PE=4 SV=1	SNRPA	31.2	0.711	0.0389
